순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 14위,000490,대동,0.3,56.0점,20.0,4.0,16.0,4.0,12.0,51.0,53.0점 (확정),100,9800,7750,-0.64,987.7,12.74,7800,6975,6970,유지,6260,OFF (조건미충족),6970,ON (상시감시),OFF (알림전용),10220,ON (상시감시),OFF (알림전용),980000,775000,-205000,-20.92,100.0,⏸️ 확정 14위 펀더멘탈·기술 중립 (관망/신규매수금지)
확정 5위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,61.0,73.0점 (확정),90,38945,33700,-2.74,3148.7,9.34,34650,30330,30300,유지,28950,OFF (조건미충족),30300,ON (상시감시),OFF (알림전용),41600,ON (상시감시),OFF (알림전용),3505050,3033000,-472050,-13.47,100.0,🟢 확정 5위 (안정 보유/홀딩)
확정 2위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),27,74800,80300,3.08,4617.3,5.75,80300,71065,71000,유지,73300,OFF (조건미충족),71000,ON (상시감시),OFF (알림전용),91900,ON (상시감시),OFF (알림전용),2019600,2168100,148500,7.35,100.0,🟢 확정 2위 (안정 보유/홀딩)
확정 7위,047050,포스코인터내셔널,3.0,78.0점,15.0,20.0,16.0,12.0,15.0,64.0,69.6점 (확정),158,62806,55800,-0.53,4099.3,7.35,56100,47901,47900,유지,49650,OFF (조건미충족),47900,ON (상시감시),OFF (알림전용),66100,ON (상시감시),OFF (알림전용),9923348,8816400,-1106948,-11.15,100.0,🟢 확정 7위 (안정 보유/홀딩)
확정 11위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,39.0,59.8점 (확정),989,4745,2720,0.55,659.7,24.25,2720,2448,2445,유지,2060,OFF (조건미충족),2445,ON (상시감시),OFF (알림전용),3515,ON (상시감시),OFF (알림전용),4692805,2690080,-2002725,-42.68,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 9위,055490,테이팩스,20.6,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),4283,23364,14170,0.85,3428.1,24.19,14170,12753,12750,유지,10740,OFF (조건미충족),12750,ON (상시감시),OFF (알림전용),18290,ON (상시감시),OFF (알림전용),100068012,60690110,-39377902,-39.35,100.0,⚠️ 비중과다(20.6%) 집중위험 (추매금지/보유)
확정 13위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,58.0,53.6점 (확정),531,18899,10760,-0.19,3053.7,28.38,10780,9684,9680,유지,7700,OFF (조건미충족),9680,ON (상시감시),OFF (알림전용),14430,ON (상시감시),OFF (알림전용),10035369,5713560,-4321809,-43.07,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 6위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,53.0,71.8점 (확정),293,15716,8960,-1.75,2023.6,22.58,9120,8064,8060,유지,6930,OFF (조건미충족),8060,ON (상시감시),OFF (알림전용),11390,ON (상시감시),OFF (알림전용),4604788,2625280,-1979508,-42.99,100.0,🟢 확정 6위 (안정 보유/홀딩)
확정 10위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,47.0,61.8점 (확정),115,17995,8280,-0.84,3470.2,41.91,8350,7452,7450,유지,4805,OFF (조건미충족),7450,ON (상시감시),OFF (알림전용),12450,ON (상시감시),OFF (알림전용),2069425,952200,-1117225,-53.99,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 4위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),4,745000,782000,5.82,55474.8,7.09,782000,671050,671000,유지,698000,OFF (조건미충족),671000,ON (상시감시),OFF (알림전용),921000,ON (상시감시),OFF (알림전용),2980000,3128000,148000,4.97,100.0,🟢 확정 4위 (안정 보유/홀딩)
