순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 3위,013030,하이록코리아,1.0,91.0점,20.0,16.0,20.0,20.0,15.0,61.0,73.0점 (확정),43.8,📈 매집 유지 (상승),-15579,90,38945,33700,0.0,2988.1,8.87,34650,29268,29200,유지,29200,OFF (조건미충족),29200,ON (상시감시),OFF (알림전용),42700,ON (상시감시),OFF (알림전용),3505050,3033000,-472050,-13.47,100.0,🟢 확정 3위 (안정 보유/홀딩)
확정 1위,034020,두산에너빌리티,0.7,73.0점,10.0,20.0,16.0,12.0,15.0,85.0,80.2점 (확정),52.0,📈 매집 유지 (상승),947,27,74800,81800,1.87,4501.8,5.5,81800,75047,75000,유지,75000,OFF (조건미충족),75000,ON (상시감시),OFF (알림전용),95400,ON (상시감시),OFF (알림전용),2019600,2208600,189000,9.36,100.0,🟢 확정 1위 (안정 보유/홀딩)
확정 6위,047050,포스코인터내셔널,2.8,78.0점,15.0,20.0,16.0,12.0,15.0,59.0,66.6점 (확정),22.5,📉 3일 수급이탈 (데드크로스),793,158,62806,55100,-1.25,3928.0,7.13,56100,49008,49200,⬆️ 상향갱신,49200,OFF (조건미충족),49200,ON (상시감시),OFF (알림전용),66900,ON (상시감시),OFF (알림전용),9923348,8705800,-1217548,-12.27,100.0,🟢 확정 6위 (안정 보유/홀딩)
확정 9위,047770,코데즈컴바인,0.9,91.0점,20.0,20.0,16.0,20.0,15.0,33.0,56.2점 (확정),20.2,📉 3일 수급이탈 (데드크로스),-1514,989,4745,2695,-0.92,619.0,22.97,2720,2299,2290,유지,2075,OFF (조건미충족),2290,ON (상시감시),OFF (알림전용),3235,ON (상시감시),OFF (알림전용),4692805,2665355,-2027450,-43.2,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 5위,055490,테이팩스,20.2,91.0점,20.0,20.0,16.0,20.0,15.0,52.0,67.6점 (확정),22.7,📈 매집 유지 (상승),2013,4283,23364,14460,2.05,3246.1,22.45,14500,12325,12290,유지,11210,OFF (조건미충족),12290,ON (상시감시),OFF (알림전용),17360,ON (상시감시),OFF (알림전용),100068012,61932180,-38135832,-38.11,100.0,⚠️ 비중과다(20.2%) 집중위험 (추매금지/보유)
확정 10위,140670,알에스오토메이션,1.9,47.0점,5.0,16.0,4.0,16.0,6.0,60.0,54.8점 (확정),35.0,📈 매집 유지 (상승),-658,531,18899,10830,0.65,2860.6,26.41,10860,9231,9200,유지,7960,OFF (조건미충족),9200,ON (상시감시),OFF (알림전용),13000,ON (상시감시),OFF (알림전용),10035369,5750730,-4284639,-42.7,100.0,⚠️ 펀더멘탈 약세/기술반등 (반등시 분할매도)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,55.0,73.0점 (확정),35.7,📉 3일 수급이탈 (데드크로스),1865,293,15716,9000,0.45,1899.0,21.1,9120,7658,7650,유지,7100,OFF (조건미충족),7650,ON (상시감시),OFF (알림전용),10800,ON (상시감시),OFF (알림전용),4604788,2637000,-1967788,-42.73,100.0,🟢 확정 4위 (안정 보유/홀딩)
확정 8위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,49.0,63.0점 (확정),21.2,📉 3일 수급이탈 (데드크로스),-6316,115,17995,8670,4.71,3260.9,37.61,8690,7386,7360,유지,5400,OFF (조건미충족),7360,ON (상시감시),OFF (알림전용),10410,ON (상시감시),OFF (알림전용),2069425,997050,-1072375,-51.82,100.0,🎯 펀더멘탈유지/기술꺾임 (차익실현/익절)
확정 2위,267260,HD현대일렉트릭,1.0,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),36.5,📈 매집 유지 (상승),-747,4,745000,799000,2.17,53869.5,6.74,800000,719196,718000,유지,718000,OFF (조건미충족),718000,ON (상시감시),OFF (알림전용),961000,ON (상시감시),OFF (알림전용),2980000,3196000,216000,7.25,100.0,🟢 확정 2위 (안정 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,52.0,40.4점 (잠정·재무검증 필요),38.5,📉 3일 수급이탈 (데드크로스),-2307,124,80329,21400,3.88,17890.5,83.6,21550,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2653600,-7307196,-73.36,75.0,⚠️ DART 재무 미확정 (추매금지/재수집필요)
