순위,종목코드,종목명,계좌평가비중(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),14일 ATR(원),ATR 변동폭(%),감시시작후 최고종가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,추매 감시가격(원),추매 주문상태,손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 2위,004960,한신공영,7.1,71.0점,20.0,16.0,12.0,8.0,15.0,71.0,71.0점 (확정),2026-08-02,12일차,"[-105156, -97411]","[81, -43]",+DI: 32.1 / -DI: 17.1 (+DI우세),42.7,📈 OBV(9) 매집 유지 (상승),-43,1871,10962,11080.0,0.18,657.8,5.94,11080,0,10090,🆕 신규설정,10090,OFF (조건미충족),10090,ON (상시감시),OFF (알림전용),12730,ON (상시감시),OFF (알림전용),20509902,20730680,220778,1.08,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (45분봉 단기반등 주의) (확정 2위)"
확정 3위,055490,테이팩스,22.2,91.0점,20.0,20.0,16.0,20.0,15.0,50.0,66.4점 (확정),N/A (정상상승),0일차,"[-12496, -8945]","[-199, -333]",+DI: 49.8 / -DI: 43.4 (+DI우세),50.7,📉 OBV(9) 데드크로스 (이탈),-333,4283,23364,15090.0,6.49,3288.3,21.79,15090,0,12820,🆕 신규설정,10150,OFF (조건미충족),12820,ON (상시감시),OFF (알림전용),23350,ON (상시감시),OFF (알림전용),100068012,64630470,-35437542,-35.41,100.0,⚠️ 비중과다(22.2%) + 🚨 45m 이중수급이탈 (추매금지/보유)
확정 6위,140670,알에스오토메이션,2.0,47.0점,5.0,16.0,4.0,16.0,6.0,56.0,52.4점 (확정),N/A (정상상승),0일차,"[18708, 23012]","[-94, -425]",+DI: 47.6 / -DI: 44.0 (+DI우세),28.5,⚠️ OBV(9) 조정 약세,-425,531,18899,10760.0,0.0,2869.9,26.67,10760,0,9140,🆕 신규설정,6450,OFF (조건미충족),9140,ON (상시감시),OFF (알림전용),17940,ON (상시감시),OFF (알림전용),10035369,5713560,-4321809,-43.07,100.0,🟢 확정 6위 (계속 보유/홀딩)
ETF 2위,161510,PLUS 고배당주,2.1,ETF 제외,-,-,-,-,-,68.0,68.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[150573, 142601]","[-6822, -9224]",+DI: 11.3 / -DI: 22.2 (-DI우세),24.6,📉 OBV(9) 데드크로스 (이탈),-9224,250,28186,24990.0,0.18,757.3,3.03,24990,0,23450,🆕 신규설정,23850,OFF (조건미충족),23450,ON (상시감시),OFF (알림전용),26900,ON (상시감시),OFF (알림전용),7046500,6247500,-799000,-11.34,100.0,🎯 분할매수 (ETF 2위 / 45m 단기조정 감지)
확정 4위,206650,유바이오로직스,0.9,100.0점,25.0,20.0,20.0,20.0,15.0,42.0,65.2점 (확정),2026-08-13,1일차,"[-29787, -29242]","[-650, -1096]",+DI: 47.6 / -DI: 44.9 (+DI우세),36.3,⚠️ OBV(9) 조정 약세,-1096,293,15716,8910.0,-0.56,1899.0,21.31,8910,0,7570,🆕 신규설정,6060,OFF (조건미충족),7570,ON (상시감시),OFF (알림전용),13660,ON (상시감시),OFF (알림전용),4604788,2610630,-1994158,-43.31,100.0,🟢 확정 4위 (계속 보유/홀딩)
확정 7위,234920,자이글,17.0,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5252.2,98.91,5310,0,4510,🆕 신규설정,0,OFF (조건미충족),4510,ON (상시감시),OFF (알림전용),18440,ON (상시감시),OFF (알림전용),70013338,49457340,-20555998,-29.36,100.0,🟢 확정 7위 (계속 보유/홀딩)
확정 5위,241520,DSC인베스트먼트,0.3,84.0점,25.0,4.0,20.0,20.0,15.0,44.0,60.0점 (확정),2026-08-10,4일차,"[-156987, -156682]","[-2620, -2184]",+DI: 48.0 / -DI: 45.8 (+DI우세),24.7,📈 OBV(9) 매집 유지 (상승),-2184,115,17995,8420.0,1.69,3260.9,38.73,8420,0,7150,🆕 신규설정,3525,OFF (조건미충족),7150,ON (상시감시),OFF (알림전용),16580,ON (상시감시),OFF (알림전용),2069425,968300,-1101125,-53.21,100.0,"🚨 매도 (ADX 방향 불일치, 참고) (일봉+45분봉 이중확인) (확정 5위)"
확정 1위,267260,HD현대일렉트릭,1.1,92.0점,25.0,20.0,20.0,12.0,15.0,67.0,77.0점 (확정),N/A (정상상승),0일차,"[-32106, -29905]","[-756, -660]",+DI: 47.4 / -DI: 16.1 (+DI우세),43.1,📉 OBV(9) 데드크로스 (이탈),-660,4,745000,778000.0,-0.51,54369.5,6.99,778000,0,696000,🆕 신규설정,696000,OFF (조건미충족),696000,ON (상시감시),OFF (알림전용),914000,ON (상시감시),OFF (알림전용),2980000,3112000,132000,4.43,100.0,🟢 확정 1위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,0.9,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,47.0,37.4점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-275640, -270249]","[-491, 366]",+DI: 47.9 / -DI: 47.5 (+DI우세),43.6,📈 OBV(9) 매집 유지 (상승),366,124,80329,21450.0,4.13,17890.5,83.41,21450,0,HOLD,🆕 신규설정,HOLD,OFF (조건미충족),HOLD,HOLD (재무미확정),OFF (HOLD),HOLD,HOLD (재무미확정),OFF (HOLD),9960796,2659800,-7300996,-73.3,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.4,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[20703, 112867]","[9486, 5645]",+DI: 38.9 / -DI: 31.6 (+DI우세),35.4,📈 OBV(9) 매집 유지 (상승),5645,9114,16458,14830.0,1.16,429.1,2.89,14830,0,13970,🆕 신규설정,14180,OFF (조건미충족),13970,ON (상시감시),OFF (알림전용),15910,ON (상시감시),OFF (알림전용),149998212,135160620,-14837592,-9.89,100.0,⚠️ 비중과다(46.4%) 집중위험 (추매금지/보유)
