순위,종목코드,종목명,계좌평가비중(%),ATR 엔진 버전,매매모드,기준가격 P0(원),고정 기준 ATR A0(원),현재 완료봉 ATR At(원),NATR(%),기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수 (100점 만점),종합점수,OBV데드 발생일자,OBV데드 경과일수,일봉 Chaikin 최근2봉,45m Chaikin 최근2봉,ADX +DI/-DI 우세방향,45분봉 ADX(14),45분봉 OBV추세,45분봉 Chaikin_Osc,보유수량,매입평단가(원),현재가(원),당일등락률(%),감시시작후 최고종가(원),추매 감시가격 P0-1.5A0(원),반등 확인폭 +0.5A0(원),추매 주문상태,초기 손절가 P0-2.0A0(원),현재 래칫 손절가(원),전일확정 손절가(원),금일확정 손절가(원),손절선 갱신상태,익절 트레일링 원시 활성가 P0+3.0A0(원),상승률 캡 적용값(원),최종 익절 트레일링 활성가(원),익절 활성 여부,익절 트레일링폭(원),현재 익절 트레일링선(원),최종 유효 매도선(원),슬리피지 버퍼(원),계좌 위험예산(원),위험기준 권고수량,20% 비중기준 수량,최종 권고수량,데이터 유효성,자동 주문설정 가능 여부,손절 가격감시,손절 주문전송,익절 가격감시,익절 주문전송,총 매입금액(원),평가금액(원),평가손익(원),평가손익률(%),데이터완성도(%),실전 대응 전략
확정 1위,004960,한신공영,7.0,V4-PILOT-C,NORMAL,11092,597.6,597.6,5.11,71.0점,20.0,16.0,12.0,8.0,15.0,83.0,78.2점 (확정),N/A (정상상승),0일차,"[-8823, -1710]","[9005, 10192]",+DI: 32.9 / -DI: 19.2 (+DI우세),42.2,📈 OBV(9) 매집 유지 (상승),10192,1739,11092,11690.0,5.7,11710,10190,299,OFF (조건미충족),9897,10814,10810,10810,유지,12885,12885,12890,INACTIVE,478,0,10810,60,2176424,1734,4964,1734,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),19288988,20328910,1039922,5.39,100.0,🟢 확정 1위 (계속 보유/홀딩)
확정 4위,055490,테이팩스,21.6,V4-PILOT-C,RECOVERY,23364,1197.3,1197.3,8.19,91.0점,20.0,20.0,16.0,20.0,15.0,64.0,74.8점 (확정),N/A (정상상승),0일차,"[-23902, -20293]","[-4542, -4580]",+DI: 33.6 / -DI: 20.9 (+DI우세),45.1,📉 OBV(9) 데드크로스 (이탈),-4580,4283,23364,14620.0,-3.88,14620,21550,599,OFF (조건미충족),20969,20969,20950,20950,유지,26956,26956,27000,INACTIVE,479,0,20950,120,1450949,577,3969,577,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),100068012,62617460,-37450552,-37.43,100.0,🔄 RECOVERY (반등 시 손실축소 분할매도)
확정 6위,140670,알에스오토메이션,2.0,V4-PILOT-C,RECOVERY,18899,1030.8,1030.8,9.51,47.0점,5.0,16.0,4.0,16.0,6.0,66.0,58.4점 (확정),N/A (정상상승),0일차,"[-9670, -3023]","[3842, 4017]",+DI: 29.5 / -DI: 16.4 (+DI우세),18.9,📈 OBV(9) 매집 유지 (상승),4017,531,18899,10840.0,0.93,10840,17350,515,OFF (조건미충족),16837,16837,16830,16830,유지,21991,21991,22000,INACTIVE,412,0,16830,103,1450949,670,5354,670,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),10035369,5756040,-4279329,-42.64,100.0,🔄 RECOVERY (반등 시 손실축소 분할매도)
ETF 2위,161510,PLUS 고배당주,2.2,V4-PILOT-C,NORMAL,28186,744.4,744.4,2.91,ETF 제외,-,-,-,-,-,79.0,79.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[142513, 183458]","[11514, 23310]",+DI: 12.3 / -DI: 21.9 (-DI우세),40.2,📈 OBV(9) 매집 유지 (상승),23310,250,28186,25575.0,2.34,25575,27050,372,OFF (조건미충족),26697,26697,26650,26650,유지,30419,30419,30450,INACTIVE,596,0,26650,74,1450949,928,2269,928,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),7046500,6393750,-652750,-9.26,100.0,🟢 ETF 2위 (계속 보유/홀딩)
확정 2위,206650,유바이오로직스,0.9,V4-PILOT-C,RECOVERY,15716,623.5,623.5,6.83,100.0점,25.0,20.0,20.0,20.0,15.0,63.0,77.8점 (확정),2026-08-12,3일차,"[-102102, -91918]","[-8329, -7941]",+DI: 26.2 / -DI: 20.4 (+DI우세),36.7,📈 OBV(9) 매집 유지 (상승),-7941,293,15716,9130.0,2.93,9130,14780,312,OFF (조건미충족),14469,14469,14460,14460,유지,17586,17586,17590,INACTIVE,249,0,14460,62,1450949,1108,6356,1108,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),4604788,2675090,-1929698,-41.91,100.0,🔄 RECOVERY (반등 시 손실축소 분할매도)
확정 7위,234920,자이글,17.0,V4-PILOT-C,HOLD,7517,5300.0,5300.0,99.81,27.0점,5.0,4.0,4.0,8.0,6.0,66.0,50.4점 (확정),N/A (정상상승),0일차,"[0, 0]","[0, 0]",+DI: 0.0 / -DI: 0.0 (+DI우세),0.0,데이터 대기,0,9314,7517,5310.0,0.0,5310,HOLD,2650,OFF (조건미충족),-3083,4513,4513,HOLD,유지,23417,23417,HOLD,INACTIVE,4240,0,HOLD,530,1450949,130,10929,130,NATR 이상 급등(99.81% >= 20%),금지 (NATR 이상 급등(99.81% >= 20%)),HOLD (NATR 이상 급등(99.81% >= 20%)),OFF (HOLD),HOLD (NATR 이상 급등(99.81% >= 20%)),OFF (HOLD),70013338,49457340,-20555998,-29.36,100.0,⚠️ NATR 이상 급등(99.81% >= 20%) (보류)
확정 5위,241520,DSC인베스트먼트,0.3,V4-PILOT-C,RECOVERY,17995,972.0,972.0,11.42,84.0점,25.0,4.0,20.0,20.0,15.0,66.0,73.2점 (확정),N/A (정상상승),0일차,"[-414303, -396062]","[-9043, -9027]",+DI: 25.9 / -DI: 24.0 (+DI우세),26.9,📈 OBV(9) 매집 유지 (상승),-9027,115,17995,8510.0,1.31,8510,16530,486,OFF (조건미충족),16051,16051,16050,16050,유지,20911,20911,20950,INACTIVE,389,0,16050,97,1450949,710,6819,710,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),2069425,978650,-1090775,-52.71,100.0,🔄 RECOVERY (반등 시 손실축소 분할매도)
확정 3위,267260,HD현대일렉트릭,1.1,V4-PILOT-C,NORMAL,745000,61116.5,61116.5,7.61,92.0점,25.0,20.0,20.0,12.0,15.0,66.0,76.4점 (확정),N/A (정상상승),0일차,"[-72603, -60384]","[-7451, -6729]",+DI: 25.7 / -DI: 29.7 (-DI우세),35.6,📈 OBV(9) 매집 유지 (상승),-6729,4,745000,803000.0,2.29,803000,653000,30558,OFF (조건미충족),622767,711104,711104,711104,유지,928350,928350,929000,INACTIVE,48893,0,711000,6112,1450949,11,72,11,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),2980000,3212000,232000,7.79,100.0,🟢 확정 3위 (계속 보유/홀딩)
잠정 1위,348340,뉴로메카,1.0,V4-PILOT-C,HOLD,80329,4571.4,4571.4,19.37,23.0점 (잠정·미확정),5.0,4.0,4.0,4.0,6.0,66.0,48.8점 (잠정·재무검증 필요),N/A (정상상승),0일차,"[-376965, -389025]","[35421, 34041]",+DI: 36.5 / -DI: 15.0 (+DI우세),56.9,📈 OBV(9) 매집 유지 (상승),34041,124,80329,23600.0,10.28,24400,HOLD,2286,OFF (조건미충족),71186,71186,71100,HOLD,유지,94043,94043,HOLD,INACTIVE,3657,0,HOLD,457,1450949,151,2459,151,DART 재무 미확정,금지 (DART 재무 미확정),HOLD (DART 재무 미확정),OFF (HOLD),HOLD (DART 재무 미확정),OFF (HOLD),9960796,2926400,-7034396,-70.62,75.0,⚠️ DART 재무 미확정 (보류)
ETF 1위,490590,RISE 미국AI밸류체인데일리고정커버드콜,46.8,V4-PILOT-C,NORMAL,16458,409.5,409.5,2.75,ETF 제외,-,-,-,-,-,80.0,80.0점 (ETF T점수 100%),N/A (정상상승),0일차,"[124173, 197644]","[17771, 15008]",+DI: 42.3 / -DI: 28.9 (+DI우세),40.0,📈 OBV(9) 매집 유지 (상승),15008,9114,16458,14905.0,0.4,14905,15840,205,OFF (조건미충족),15639,15639,15630,15630,유지,17686,17686,17690,INACTIVE,328,0,15630,50,1450949,1669,3893,1669,정상,가능 (알림참고),ON (상시감시),OFF (알림전용),ON (상시감시),OFF (알림전용),149998212,135844170,-14154042,-9.44,100.0,⚠️ 비중과다(46.8%) 집중위험 (추매금지/보유)
