종목코드,종목명,매매신호,추천금액(만원),1. F점수조건(>=65),2. T점수조건(>=60),3. 계좌비중조건(<=20%),4. 재무완성도조건(>=90%),5. 악재공시뉴스조건,6. 3일수급쌍쓸이조건,최종 추매승인 여부,기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수,종합점수,현재가(원),당일등락률(%),14일 ATR(원),손절 감시가격(원),손절 가격감시,손절 주문전송,익절 감시가격(원),익절 가격감시,익절 주문전송,데이터완성도(%),분석근거
011700,한신기계,관망,0,FAIL,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),39.0,5.0,4.0,4.0,20.0,6.0,50.0,45.6,2610,0.97,1136.5,337,ON (상시감시),OFF (알림전용),5460,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
013030,하이록코리아,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,16.0,20.0,20.0,15.0,56.0,70.0,33700,0.0,2988.1,27700,ON (상시감시),OFF (알림전용),41200,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 2등급(8점: OBV 9일 이평 상회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
034020,두산에너빌리티,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),73.0,10.0,20.0,16.0,12.0,15.0,85.0,80.2,81400,1.37,4501.8,72300,ON (상시감시),OFF (알림전용),92700,ON (상시감시),OFF (알림전용),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
047050,포스코인터내셔널,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),78.0,15.0,20.0,16.0,12.0,15.0,51.0,61.8,54600,-2.15,3942.2,46700,ON (상시감시),OFF (알림전용),64500,ON (상시감시),OFF (알림전용),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
047770,코데즈컴바인,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,20.0,16.0,20.0,15.0,35.0,57.4,2635,-3.12,627.2,1380,ON (상시감시),OFF (알림전용),4205,ON (상시감시),OFF (알림전용),100.0,일목 5등급(4점: 구름대 하회 & 역전) / VWAP 5등급(3점: 역배열 지속) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
055490,테이팩스,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,20.0,16.0,20.0,15.0,50.0,66.4,14400,1.62,3246.1,7900,ON (상시감시),OFF (알림전용),22550,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
140670,알에스오토메이션,관망,0,FAIL,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),47.0,5.0,16.0,4.0,16.0,6.0,50.0,48.8,10730,-0.28,2860.6,5000,ON (상시감시),OFF (알림전용),17890,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
088500,PLUS 고배당주,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,33.0,33.0,25100,-1.18,333.5,24400,ON (상시감시),OFF (알림전용),25950,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 5등급(3점: 하한선 이탈 하방 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
206650,유바이오로직스,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),100.0,25.0,20.0,20.0,20.0,15.0,42.0,65.2,8890,-0.78,1899.0,5090,ON (상시감시),OFF (알림전용),13640,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 4등급(6점: 단기 이탈) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
219550,자이글,관망,0,FAIL,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),31.0,5.0,4.0,8.0,8.0,6.0,47.0,40.6,5310,0.0,72.2,5160,ON (상시감시),OFF (알림전용),5490,ON (상시감시),OFF (알림전용),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 1등급(15점: 상한선 돌파 상방 밴드위드 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
