종목코드,종목명,매매신호,추천금액(만원),1. F점수조건(>=65),2. T점수조건(>=60),3. 계좌비중조건(<=20%),4. 재무완성도조건(>=90%),5. 악재공시뉴스조건,6. 3일수급쌍쓸이조건,최종 추매승인 여부,기본 F점수,성장성(25),현금흐름(20),모멘텀(20),재무안정(20),밸류경영(15),기술 T점수,종합점수,현재가(원),당일등락률(%),14일 ATR(원),손절 감시가격(원),익절 감시가격(원),엔진 연동상태,데이터완성도(%),분석근거
011700,한신기계,관망,0,FAIL,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),39.0,5.0,4.0,4.0,20.0,6.0,69.0,57.0,2605,0.19,265.7,2070,3405,관심종목 (V4 감시대기),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
013030,하이록코리아,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,16.0,20.0,20.0,15.0,76.0,82.0,33650,0.45,1736.1,30150,38900,관심종목 (V4 감시대기),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
034020,두산에너빌리티,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),73.0,10.0,20.0,16.0,12.0,15.0,69.0,70.6,82600,2.1,4963.8,72600,97500,관심종목 (V4 감시대기),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 2등급(12점: DI+ 우위) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
047050,포스코인터내셔널,관망,0,PASS,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),78.0,15.0,20.0,16.0,12.0,15.0,53.0,63.0,53300,-1.84,3043.9,47200,62500,관심종목 (V4 감시대기),100.0,일목 4등급(8점: 구름대 하회) / VWAP 3등급(9점: 중기 VWAP 지지) / 볼밴 4등급(6점: 중심선 하회) / DMI 2등급(12점: DI+ 우위) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
047770,코데즈컴바인,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),91.0,20.0,20.0,16.0,20.0,15.0,60.0,72.4,2700,3.25,232.2,2235,3400,관심종목 (V4 감시대기),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 2등급(12점: 단기 VWAP 상회) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 4등급(6점: DI- 우위 하락세) / OBV 1등급(10점: OBV 9일 이평 상회 & 우상향) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
088500,PLUS 고배당주,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,33.0,33.0,25100,-1.18,335.4,24400,26150,관심종목 (V4 감시대기),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 5등급(3점: 하한선 이탈 하방 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
219550,자이글,관망,0,FAIL,FAIL,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),31.0,5.0,4.0,8.0,8.0,6.0,47.0,40.6,5310,0.0,72.5,5160,5530,관심종목 (V4 감시대기),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 1등급(15점: 상한선 돌파 상방 밴드위드 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 4등급(4점: OBV 9일 이평 하회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
371460,TIGER 차이나전기차SOLACTIVE,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,48.0,48.0,10935,-0.64,396.6,10140,12130,관심종목 (V4 감시대기),100.0,일목 3등급(12점: 구름대 내부 혼조) / VWAP 5등급(3점: 역배열 지속) / 볼밴 4등급(6점: 중심선 하회) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
484730,RISE 미국AI밸류체인TOP3Plus,관망,0,ETF 제외(PASS),FAIL,PASS (미보유 0%),ETF 제외(PASS),UNCONFIRMED(FAIL),FAIL,금지(조건미충족),ETF 제외,-,-,-,-,-,33.0,33.0,14650,-0.68,193.0,14260,15230,관심종목 (V4 감시대기),100.0,일목 4등급(8점: 구름대 하회) / VWAP 5등급(3점: 역배열 지속) / 볼밴 5등급(3점: 하한선 이탈 하방 확장) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 5등급(2점: OBV 9일 이평 하회 & 연속 유출) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
000490,대동,관망,0,FAIL,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),56.0,20.0,4.0,16.0,4.0,12.0,78.0,69.2,8300,-2.12,703.4,6890,10410,관심종목 (V4 감시대기),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 1등급(15점: DI+ 우위 및 강한 추세) / OBV 2등급(8점: OBV 9일 이평 상회) / 채킨 5등급(2점: 매도 유출 심화) / 수급 4등급(6점: 수급 약세 지속)
207940,삼성바이오로직스,관망,0,PASS,PASS,PASS (미보유 0%),PASS,UNCONFIRMED(FAIL),FAIL,금지(조건미충족),100.0,25.0,20.0,20.0,20.0,15.0,80.0,88.0,1548000,-1.02,65835.2,1416000,1746000,관심종목 (V4 감시대기),100.0,일목 1등급(20점: 구름대 상회 & 호전) / VWAP 1등급(15점: 정배열 완벽) / 볼밴 2등급(12점: 중앙선 상회 유진) / DMI 3등급(9점: 팽팽한 혼조세) / OBV 2등급(8점: OBV 9일 이평 상회) / 채킨 1등급(10점: 매수 유입 급증) / 수급 4등급(6점: 수급 약세 지속)
